Molecule,Polarizability (au),HOMO (eV),LUMO (eV),total energy (Eh),HOMO-LUMO gap (eV),dipole (Debye)
BTA53,929.874459,-9.922,-8.9674,-248.211881567579,0.95466215363,5.621
i-cc23,974.122315,-9.8885,-9.1193,-246.052201654706,0.769175521177,5.178
Y14,757.498602,-10.183,-9.1326,-208.258112361447,1.050405991525,4.139
IPTBO-4Cl,1009.609599,-10.2299,-9.2276,-260.548834294087,1.002277916744,0.686
H2,791.166684,-10.2681,-9.2086,-207.713367947282,1.059511582648,5.402
NITV,661.426027,-10.186,-8.952,-182.274691761214,1.234068208712,2.541
IDF-IC,796.238822,-10.3309,-9.0605,-211.732743981864,1.270409237717,6.857
Y6,675.753217,-10.4822,-9.4094,-191.185998101606,1.072758045077,2.128
M34,657.798193,-10.276,-9.409,-191.218789752022,0.867067417982,5.242
SeTIC,914.573601,-10.1493,-9.0691,-225.01530536006,1.080173871225,0.967
N3,675.657609,-10.4908,-9.4232,-191.181590733413,1.067598338481,4.486
CPDT-4Cl,682.620228,-10.331,-9.3522,-177.504382321454,0.978791677367,6.497
Y5,673.17979,-10.1825,-9.0837,-174.294531597716,1.098826702807,2.834
BTTPC,747.666295,-10.1796,-9.0527,-189.369239621086,1.12695720526,7.025
BTP-PhC6,882.479045,-10.3221,-9.2765,-243.111292625189,1.045555162652,0.514
o-IO1,819.515561,-10.154,-9.3166,-228.826060050691,0.837340700384,8.282
TPIC-4Cl,963.167385,-10.2702,-9.2023,-247.897083501469,1.067900755407,2.407
AQx-2,679.117337,-10.0883,-9.3768,-193.24142200975,0.711427615015,3.147
N65-IC,952.555512,-10.0794,-9.0713,-237.938219847362,1.00815664537,8.313
BTA43,939.737347,-9.9712,-8.8977,-256.309336166859,1.073484467324,4.928
BTCIC,909.743727,-10.0865,-9.106,-234.885882009121,0.980487928686,4.966
o-IO2,801.004037,-10.1231,-9.2918,-226.564473668174,0.83130129865,4.636
IDST-4F,692.965281,-10.229,-9.382,-193.007294586469,0.846987528814,5.998
BDTN-Th,742.712933,-9.9885,-9.1135,-195.512490447186,0.874993982176,2.816
IDTT-TBTA,892.76061,-9.7677,-9.0266,-229.131567713655,0.741061436472,2.223
BTP-4Cl,722.959281,-10.3847,-9.3067,-190.504590197017,1.078002133398,0.711
ZY-4Cl,653.168892,-10.2317,-8.9317,-174.256320070807,1.299926592615,1.643
EH-IDTBR,882.944645,-9.9133,-9.0488,-225.556691493202,0.864489957064,6.232
BTN-4F,581.528933,-10.3816,-9.3992,-171.185235187934,0.982479213135,6.361
BCDT-4F,781.865056,-10.2916,-9.3557,-221.958990323097,0.935949334529,6.593
FDICTF,691.582281,-10.2381,-9.0039,-180.25430631691,1.234221626024,7.818
Y1-4F,642.73812,-10.4386,-9.4088,-185.030929899369,1.029820815867,7.127
BTCIC-4Cl,959.271691,-10.296,-9.2968,-251.090518838626,0.999270922416,2.222
NIDT,1039.05621,-10.0858,-8.8725,-270.786503248256,1.213262364403,6.56
BCDT-4Cl,829.03293,-10.2227,-9.2797,-221.267490166397,0.943077329974,8.065
p-IO1,999.724266,-10.1153,-9.2855,-269.387509047404,0.829705520325,9.939
BTA3,919.95959,-9.9992,-8.9098,-240.062742684714,1.089346059251,2.161
BTTPC-Br,785.941435,-10.2848,-9.2153,-196.520369725444,1.069466948747,5.017
AQx,701.868803,-9.8866,-9.3414,-199.597040704433,0.54519976388,9.726
IDF-4F,798.529393,-10.6064,-9.4428,-228.629064470728,1.163576065728,6.494
Y16,686.500052,-10.0927,-8.9993,-180.805863969879,1.093352254761,5.514
DTG-IW,833.196749,-10.2744,-9.3009,-226.421171841791,0.973597842541,8.238
p-IO2,1004.591185,-10.0945,-9.244,-273.436797426582,0.850540149058,1.649
BTDT2R,447.98426,-10.0443,-9.1487,-115.561753804483,0.895579822741,4.145
FO-2F,703.69871,-10.4262,-9.3283,-205.308843985725,1.097835921288,9.648
BT6IC-HD-4Cl,792.833635,-10.358,-9.2996,-209.471042675309,1.058464396616,4.518
ITIC-Th,889.702764,-10.2597,-9.1319,-216.917682968049,1.12778320863,3.647
Y11,688.806697,-10.3523,-9.3253,-197.702046716696,1.027001661964,7.989
CH1007,689.154474,-10.4266,-9.3828,-191.023112520972,1.043880344767,3.732
Y15,736.134677,-10.2696,-9.233,-197.006102130738,1.036551398847,6.306
F-2F,694.155297,-10.5117,-9.3331,-197.159769555549,1.178564833313,1.281
BTSe-4F,587.594151,-10.4753,-9.4722,-167.753326336126,1.003046886857,8.268
O-IDTBR,696.313781,-9.8921,-9.0787,-174.946732328972,0.813426864117,3.003
ITIC,900.942042,-10.1838,-9.0652,-225.173086816124,1.11851978905,0.448
ITCC,895.654712,-10.2266,-9.0803,-221.040159285893,1.146259904848,4.405
i-cc34,973.720287,-9.8939,-9.1156,-246.048348955279,0.778273515653,5.85
CPDT-4F,635.486503,-10.4386,-9.4358,-178.208936668968,1.002804800569,3.246
BDTN-BF,751.19846,-10.2414,-9.3232,-216.527741178821,0.918226232277,4.386
NIBT,1144.832107,-9.9528,-8.9238,-301.646021859283,1.028992224505,5.36
M8,627.13314,-10.4159,-9.3787,-192.857177869495,1.037197625445,4.208
Y1,850.238392,-10.0913,-9.0867,-225.087324352978,1.00463657499,2.694
SNBDT1-F,749.303185,-10.0343,-9.2159,-208.099372678378,0.818445367379,9.816
IDTCF,574.554985,-10.502,-9.3443,-155.129977215337,1.157692037139,1.816
PC70BM,741.848975,-10.1228,-8.781,-190.957930983078,1.341817138921,4.651
N65-2FIC,955.10467,-10.3362,-9.4148,-254.822541290045,0.921405926141,8.578
PCBM,655.096362,-10.2269,-8.6749,-169.455812971383,1.552014024786,4.236
IDIC,575.83104,-10.3945,-9.1362,-150.55310767066,1.258373437456,3.676
TPIC,913.40413,-10.096,-9.0035,-231.699566487388,1.092439262223,1.419
F-H,691.443586,-10.2286,-8.984,-180.257380341886,1.244545154628,7.917
IT-4F,903.59357,-10.4723,-9.403,-242.05998927746,1.069244112933,3.894
Y2,634.531081,-10.1981,-9.1427,-164.009194615497,1.055383048818,3.979
SeTIC4Cl,964.585333,-10.3461,-9.3002,-241.210588019582,1.045876198105,4.587
TPIC-4F,915.896377,-10.3642,-9.2975,-248.593857864894,1.066762873479,3.796
